"FDT_STA_ID","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","STA_CBP_NAME"
"2-VNS003.75","JA04","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Vaughans Cr @ rt 626","000002","AMBNT",37.35222222,-78.59916667,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Vaughans Creek","020802070204","Vaughans Creek","JA-B",NA
"2-VNS007.73","JA04","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Vaughans Cr @ rt 627 dwnstr side","000002","AMBNT",37.31388889,-78.63333333,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Vaughans Creek","020802070204","Vaughans Creek","JA-B",NA
"2-WDY003.04","JA29","TM, IM, QA",31,"2011, 2012, 2013, 2014, 2015",5,"6 : TM","6 : TM","4 : IM | 1 : QA | 1 : TM","7 : IM","6 : IM",NA,NA,NA,"IM: 6 | Total: 6","TM: 13 | IM: 17 | QA: 1 | Total: 31","IM: 17 | QA: 1 | TM: 1 | Total: 19","IM: 6 | Total: 6","APROB","STREAM","SCRO","Blue Ridge","WOODY CREEK, RT. 607 BRIDGE","07114","AMBNT",37.17222222,-78.00972222,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Little Creek-Deep Creek","020802070701","Deep Creek-Little Creek","JA-G",NA
"2-WIC000.40","JM16","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AWTSHD","STREAM","SCRO","Blue Ridge","ROUTE 605 BRIDGE, NEAR RIVERVILLE-APPOMA","000002","AMBNT",37.50666667,-78.89777778,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Wreck Island Creek","020802030404","Wreck Island Creek","JM-D",NA
"2-WIC005.69","JM16","RB",2,"2014",1,NA,NA,NA,"2 : RB",NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA,"BIOMON","STREAM","SCRO","Blue Ridge","Wreck Island Ck @ Rte 683","000002","AMBNT",37.4747,-78.8972,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Wreck Island Creek","020802030404","Wreck Island Creek","JM-D",NA
"2-WKF000.72","JM15","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Walker Ford Cr @ Rt 622","000002","AMBNT",37.50777778,-78.93666667,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Christian Mill Creek-James River","020802030403","James River-Christian Mill Creek","JM-D",NA
"2-WLN000.36","JU23","AW, QA",25,"2013, 2015",2,NA,NA,"12 : AW",NA,"11 : AW | 2 : QA",NA,NA,NA,"AW: 11 | QA: 2 | Total: 13","AW: 23 | QA: 2 | Total: 25","AW: 23 | QA: 2 | Total: 25","AW: 11 | QA: 2 | Total: 13","AWTSHD","STREAM","WCRO","Blue Ridge","Rt. 632 Br. (Golf Course View)","000002","AMBNT",37.81888889,-79.79777778,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Wilson Creek","020802010506","Wilson Creek","JU-E",NA
"2-WLS004.27","JM70","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12","ATRND","STREAM","SCRO","Blue Ridge","WILLIS R @ Rt. 605 BRIDGE","000002","AMBNT",37.68833333,-78.14361111,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Trice Lake-Willis River","020802050303","Willis River-Trice Lake","JM-R",NA
"2-WLS021.48","JM68","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Willis R @ rt 696","000002","AMBNT",37.59111111,-78.25833333,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Bonbrook Creek-Willis River","020802050301","Willis River-Bonbrook Creek","JM-R",NA
"2-WLS023.10","JM68","FP",1,"2011",1,"1 : FP",NA,NA,NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1",NA,NA,"APROB","STREAM","SCRO","Blue Ridge","Willis R 0.1 mile upstr of Buck & Game","000002","AMBNT",37.57308333,-78.26808333,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Bonbrook Creek-Willis River","020802050301","Willis River-Bonbrook Creek","JM-R",NA
"2-WLS025.32","JM68","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12","ATRND","STREAM","SCRO","Blue Ridge","WILLIS R @ Rt. 622 BRIDGE","000002","AMBNT",37.55472222,-78.28888889,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Bonbrook Creek-Willis River","020802050301","Willis River-Bonbrook Creek","JM-R",NA
"2-WLS038.90","JM66","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Willis R @ rt 634 salem church rd","000002","AMBNT",37.44,-78.36083333,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Buffalo Creek-Willis River","020802050204","Willis River-Buffalo Creek","JM-Q",NA
"2-WLS042.78","JM64","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12","ATRND","STREAM","SCRO","Blue Ridge","Willis River @ rt 600","000002","AMBNT",37.43583333,-78.40833333,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Whispering Creek-Willis River","020802050202","Willis River-Whispering Creek","JM-Q",NA
"2-WLS055.54","JM63","AW, RB",14,"2014",1,NA,NA,NA,"12 : AW | 2 : RB",NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14",NA,"SSTUDY","STREAM","SCRO","Blue Ridge","Willis River @ Rt. 637","000002","AMBNT",37.44111111,-78.5375,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Bishop Creek-Willis River","020802050201","Willis River-Bishop Creek","JM-Q",NA
"2-WLS057.34","JM63","RB",1,"2016",1,NA,NA,NA,NA,NA,"1 : RB",NA,NA,"RB: 1 | Total: 1","RB: 1 | Total: 1","RB: 1 | Total: 1","RB: 1 | Total: 1","SSTUDY","STREAM","SCRO","Blue Ridge","Willis River @ Rt. 638","000002","AMBNT",37.43555556,-78.56666667,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Bishop Creek-Willis River","020802050201","Willis River-Bishop Creek","JM-Q",NA
"2-WSP001.95","JM64","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Whispering Cr @ rt 654","000002","AMBNT",37.45777778,-78.39666667,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Whispering Creek-Willis River","020802050202","Willis River-Whispering Creek","JM-Q",NA
"2-WTN002.08","JM54","FP",2,"2016",1,NA,NA,NA,NA,NA,"2 : FP",NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","APROB","STREAM","WCRO","Blue Ridge","Walton Fork DS of Rt 658","000002","AMBNT",37.615088,-78.552507,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Ripley Creek-Walton Fork","020802031304","Walton Fork-Ripley Creek","JM-M",NA
"2-WTN002.50","JM54","RB, PA",14,"2013, 2016",2,NA,NA,"2 : RB",NA,NA,"12 : PA",NA,NA,"PA: 12 | Total: 12","RB: 2 | PA: 12 | Total: 14","RB: 2 | PA: 12 | Total: 14","PA: 12 | Total: 12","SSTUDY","STREAM","SCRO","Blue Ridge","Walton Fork @ Rt 658","000002","AMBNT",37.61444445,-78.55472222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Ripley Creek-Walton Fork","020802031304","Walton Fork-Ripley Creek","JM-M",NA
"2-XEP000.44","JA14","RL",69,"2013, 2014",2,NA,NA,"35 : RL","34 : RL",NA,NA,NA,NA,NA,"RL: 69 | Total: 69","RL: 69 | Total: 69",NA,"AWTSHD","RESERV","SCRO","Blue Ridge","GOODWIN LAKE-NEAR DAM-PRINCE EDWARD CO","000002","AMBNT",37.17416667,-78.28138889,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Sandy River","020802070305","Bush River-Sandy River","JA-C",NA
"2-XFT000.62","JA29","TM, IM",28,"2011, 2012, 2013, 2014, 2015",5,"6 : TM","6 : TM","5 : IM | 1 : TM","7 : IM","3 : IM",NA,NA,NA,"IM: 3 | Total: 3","TM: 13 | IM: 15 | Total: 28","IM: 15 | TM: 1 | Total: 16","IM: 3 | Total: 3","TMDL","STREAM","PRO","Blue Ridge","West UT to Winningham Cr at Rt. 632","07114","AMBNT",37.16588889,-78.09747222,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Little Creek-Deep Creek","020802070701","Deep Creek-Little Creek","JA-G",NA
"2-XRA000.47","JU47","FP",1,"2015",1,NA,NA,NA,NA,"1 : FP",NA,NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1","FP: 1 | Total: 1","FP: 1 | Total: 1","APROB","STREAM","WCRO","Blue Ridge","Upstream of Rt. 617",NA,"AMBNT",37.5532,-80.11986667,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Barbours Creek","020802011202","Barbours Creek","JU-L","VARS11-225"
"2-XSP000.97","JU36","FP",2,"2013",1,NA,NA,"2 : FP",NA,NA,NA,NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2",NA,"APROB","STREAM","WCRO","Blue Ridge","North of Longdale Furnace","000002","AMBNT",37.8307,-79.6771,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Simpson Creek-Cowpasture River","020802010803","Cowpasture River-Simpson Creek","JU-H","VARS11-124"
"2-XUL000.10","JU55","RB",4,"2013, 2014",2,NA,NA,"2 : RB","2 : RB",NA,NA,NA,NA,NA,"RB: 4 | Total: 4","RB: 4 | Total: 4",NA,"BIOMON","STREAM","WCRO","Blue Ridge","Upstream of Rt. 11","000002","AMBNT",37.4606,-79.81906944,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Mill Creek-Looney Creek","020802011403","Looney Creek-Mill Creek","JU-N",NA
"2-XWQ000.02","JM02","RB",1,"2015",1,NA,NA,NA,NA,"1 : RB",NA,NA,NA,"RB: 1 | Total: 1","RB: 1 | Total: 1","RB: 1 | Total: 1","RB: 1 | Total: 1","BIOMON","STREAM","WCRO","Blue Ridge","Above Confluence with Reed Creek","000002","AMBNT",37.50831667,-79.38367222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Reed Creek","020802030102","Reed Creek","JM-A",NA
"2-XZN001.15","JA29","TM, IM, QA",27,"2011, 2012, 2013, 2014",4,"6 : TM","6 : TM","5 : IM | 2 : TM","6 : IM | 1 : QA | 1 : TM",NA,NA,NA,NA,NA,"TM: 15 | IM: 11 | QA: 1 | Total: 27","IM: 11 | TM: 3 | QA: 1 | Total: 15",NA,"TMDL","STREAM","PRO","Blue Ridge","East UT to Winningham Cr at Rt. 632","07114","AMBNT",37.16305556,-78.08897222,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Little Creek-Deep Creek","020802070701","Deep Creek-Little Creek","JA-G",NA
"2-XZQ000.76","JU43","RB",1,"2012",1,NA,"1 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"SSTUDY","STREAM","WCRO","Blue Ridge","60 m upstr of Enterprise Rd, beyond gate","000002","AMBNT",37.47605,-80.11728056,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Broad Run-Craig Creek","020802011003","Craig Creek-Broad Run","JU-J",NA
"2-YST000.64","JU57","FP",3,"2015",1,NA,NA,NA,NA,"3 : FP",NA,NA,NA,"FP: 3 | Total: 3","FP: 3 | Total: 3","FP: 3 | Total: 3","FP: 3 | Total: 3","APROB","STREAM","WCRO","Blue Ridge","Off Jennings Cr Rd 9Rt 614)",NA,"AMBNT",37.50669444,-79.629,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","North Creek-Jennings Creek","020802011502","Jennings Creek-North Creek","JU-O","VARS11-305"
"2-ZAE000.24","JU19","RB",1,"2012",1,NA,"1 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"SSTUDY","STREAM","WCRO","Blue Ridge","Along trail to Morning Knob","000002","AMBNT",37.66944445,-80.08472222,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Cast Steel Run-Potts Creek","020802010404","Potts Creek-Cast Steel Run","JU-D",NA
"2AFAW000.01","JU57","RB",2,"2018",1,NA,NA,NA,NA,NA,NA,NA,"2 : RB","RB: 2 | Total: 2",NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","BIOMON","STREAM","WCRO","Blue Ridge","Off Rt. 614 nr VTSSS site","000002","AMBNT",37.473214,-79.598325,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","North Creek-Jennings Creek","020802011502","Jennings Creek-North Creek","JU-O",NA
"2AJMS299.39","JU58","FP",1,"2018",1,NA,NA,NA,NA,NA,NA,NA,"1 : FP","FP: 1 | Total: 1",NA,"FP: 1 | Total: 1","FP: 1 | Total: 1","BIOMON","STREAM","WCRO","Blue Ridge","800m Above Alpine Boat Ramp","000002","AMBNT",37.572319,-79.609214,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Roaring Run-James River","020802011503","James River-Roaring Run","JU-O","VA-1168"
"2ASTV001.35","JU18","RB",2,"2018",1,NA,NA,NA,NA,NA,NA,NA,"2 : RB","RB: 2 | Total: 2",NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","BIOMON","STREAM","WCRO","Blue Ridge","Above Rt. 607 nr VTSSS site","000002","AMBNT",37.615081,-80.1777,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Mill Branch-Potts Creek","020802010403","Potts Creek-Mill Branch","JU-D",NA
"2BACH000.09","JM13","AW, PA",22,"2013, 2018",2,NA,NA,"12 : AW",NA,NA,NA,NA,"10 : PA","PA: 10 | Total: 10","AW: 12 | Total: 12","AW: 12 | PA: 10 | Total: 22","PA: 10 | Total: 10","AWTSHD","STREAM","SCRO","Blue Ridge","Route 609","000002","AMBNT",37.39305556,-79.04,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Archer Creek-James River","020802030401","James River-Beck Creek","JM-D",NA
"2BANC000.09","JM17","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Rte 622","000002","AMBNT",37.546,-78.869,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Allens Creek-James River","020802030405","James River-Allens Creek","JM-D",NA
"2BBKF002.05","JM16","RB",4,"2014, 2015",2,NA,NA,NA,"2 : RB","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 4 | Total: 4","RB: 4 | Total: 4","RB: 2 | Total: 2","BIOMON","STREAM","SCRO","Blue Ridge","Blackfoot Creek @ Rte 665","000002","AMBNT",37.44177778,-78.87219444,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Wreck Island Creek","020802030404","Wreck Island Creek","JM-D",NA
"2BBYN000.59","JM53","RB",4,"2012, 2014",2,NA,"2 : RB",NA,"2 : RB",NA,NA,NA,NA,NA,"RB: 4 | Total: 4","RB: 2 | Total: 2",NA,"BIOMON","STREAM","SCRO","Blue Ridge","upstream of Rte 633","000002","AMBNT",37.53966667,-78.55313889,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Horsepen Creek-Slate River","020802031303","Slate River-Horsepen Creek","JM-M",NA
"2BECH000.53","JM05","RB",2,"2016",1,NA,NA,NA,NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","BIOMON","STREAM","SCRO","Blue Ridge","upstream of FR 39","000002","AMBNT",37.661,-79.29422222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Browns Creek-Pedlar River","020802030202","Pedlar River-Browns Creek","JM-B",NA
"2BFSP001.09","JA03","FP",2,"2016",1,NA,NA,NA,NA,NA,"2 : FP",NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","APROB","STREAM",NA,"Blue Ridge","Fishpond Ck DS of state forest US of 617","000002","AMBNT",37.366806,-78.654028,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Fishpond Creek-Appomattox River","020802070203","Appomattox River-Fishpond Creek","JA-B",NA
"2BFWN000.66","JM08","RB",2,"2015",1,NA,NA,NA,NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","BIOMON","STREAM","SCRO","Blue Ridge","Fawn Ck @ Rte 130","000002","AMBNT",37.47619722,-79.15359722,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Harris Creek","020802030302","Harris Creek","JM-C",NA
"2BHAZ008.29","JM08","PA",12,"2015",1,NA,NA,NA,NA,"12 : PA",NA,NA,NA,"PA: 12 | Total: 12","PA: 12 | Total: 12","PA: 12 | Total: 12","PA: 12 | Total: 12","APROB","STREAM","SCRO","Blue Ridge","Route 675 (Winesap Road)","000002","AMBNT",37.4934,-79.15263889,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Harris Creek","020802030302","Harris Creek","JM-C",NA
"2BHAZ008.51","JM08","FP",2,"2015",1,NA,NA,NA,NA,"2 : FP",NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","APROB","STREAM","SCRO","Blue Ridge","Harris Cr above rt 675 (winesap Rd)","000002","AMBNT",37.49619444,-79.1515,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Harris Creek","020802030302","Harris Creek","JM-C",NA
"2BHOX000.62","JM53","RB, PA",14,"2012, 2014",2,NA,"2 : RB",NA,"12 : PA",NA,NA,NA,NA,NA,"RB: 2 | PA: 12 | Total: 14","PA: 12 | Total: 12",NA,"BIOMON","STREAM","SCRO","Blue Ridge","Rte. 638 US of Bryant Creek confluence","000002","AMBNT",37.54330556,-78.56194444,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Horsepen Creek-Slate River","020802031303","Slate River-Horsepen Creek","JM-M",NA
"2BHOY002.92","JM06","RB",2,"2015",1,NA,NA,NA,NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","BIOMON","STREAM","SCRO","Blue Ridge","Horseley Ck @ Rte 642","000002","AMBNT",37.59262778,-79.23449722,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Horsley Creek-Pedlar River","020802030203","Pedlar River-Horsley Creek","JM-B",NA
"2BJMS163.69","JM62","FP",2,"2016",1,NA,NA,NA,NA,NA,"2 : FP",NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","APROB","STREAM","PRO","Blue Ridge","2.81 miles downstream rt. 690 Columbia","000002","AMBNT",37.72785,-78.12131667,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Hooper Rock Creek-James River","020802050401","James River-Hooper Rock Creek","JM-S","VA-1055"
"2BJMS196.16","JM42","FP",1,"2013",1,NA,NA,"1 : FP",NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1",NA,"APROB","STREAM","SCRO","Blue Ridge","James River near Warren","000002","AMBNT",37.75877778,-78.56858333,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Ballinger Creek-James River","020802031101","James River-Ballinger Creek","JM-K",NA
"2BJMS220.34","JM20","FP",2,"2016",1,NA,NA,NA,NA,NA,"2 : FP",NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","APROB","STREAM",NA,"Blue Ridge","James R near James R State Park","000002","AMBNT",37.633889,-78.815583,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Alabama Creek-James River","020802030802","James River-Alabama Creek","JM-H",NA
"2BJMS221.84","JM20","PA",12,"2016",1,NA,NA,NA,NA,NA,"12 : PA",NA,NA,"PA: 12 | Total: 12","PA: 12 | Total: 12","PA: 12 | Total: 12","PA: 12 | Total: 12","SSTUDY","STREAM","SCRO","Blue Ridge","Main boat ramp at James River State Park","000002","AMBNT",37.61518889,-78.81733056,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Alabama Creek-James River","020802030802","James River-Alabama Creek","JM-H",NA
"2BJMS255.91","JM11","TM",1,"2018",1,NA,NA,NA,NA,NA,NA,NA,"1 : TM","TM: 1 | Total: 1",NA,"TM: 1 | Total: 1","TM: 1 | Total: 1","TMDL","STREAM","WCRO","Blue Ridge","James River @ Rte 29 Bypass","170520","AMBNT",37.4051,-79.1012,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Opossum Creek-James River","020802030305","James River-Opossum Creek","JM-C",NA
"2BLIR007.16","JM25","FP",1,"2012",1,NA,"1 : FP",NA,NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1",NA,NA,"APROB","STREAM","VRO","Blue Ridge","100 meters downstream trail crossing","000002","AMBNT",37.7645,-79.1644,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Little Piney River-Piney River","020802030505","Piney River-Little Piney River","JM-E","VARS11-105"
"2BPRS001.90","JM25","PA, FP",12,"2014",1,NA,NA,NA,"2 : FP | 10 : PA",NA,NA,NA,NA,NA,"FP: 2 | PA: 10 | Total: 12","FP: 2 | PA: 10 | Total: 12",NA,"APROB","STREAM","VRO","Blue Ridge","1 km downstream Greasy Spring Branch","000002","AMBNT",37.7908,-79.1456,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Little Piney River-Piney River","020802030505","Piney River-Little Piney River","JM-E","VARS11-287"
"2BWLM000.34","JM11","TM",1,"2018",1,NA,NA,NA,NA,NA,NA,NA,"1 : TM","TM: 1 | Total: 1",NA,"TM: 1 | Total: 1","TM: 1 | Total: 1","TMDL","STREAM","WCRO","Blue Ridge","Williams Run @ CVTC Treatment Works Bldg","170520","AMBNT",37.4056,-79.0995,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Opossum Creek-James River","020802030305","James River-Opossum Creek","JM-C",NA
"2BXAD000.07","JM45","FP",2,"2011",1,"2 : FP",NA,NA,NA,NA,NA,NA,NA,NA,"FP: 2 | Total: 2",NA,NA,"APROB","STREAM","SCRO","Blue Ridge","UT Little Georgia Cr @ Hwy 20","000002","AMBNT",37.74577778,-78.49086111,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Little George Creek-James River","020802031104","James River-Little George Creek","JM-K",NA
"2BXZF000.38","JM53","RB",2,"2011",1,"2 : RB",NA,NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"BIOMON","STREAM","SCRO","Blue Ridge","UT BRYANT AT RTE 665","000002","AMBNT",37.53319444,-78.52244444,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Horsepen Creek-Slate River","020802031303","Slate River-Horsepen Creek","JM-M",NA
"2DAPP108.43","JA09","FP",1,"2016",1,NA,NA,NA,NA,NA,"1 : FP",NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1","FP: 1 | Total: 1","FP: 1 | Total: 1","APROB","STREAM",NA,"Blue Ridge","App R @ Bad Luck Br DS of Farmville","000002","AMBNT",37.309,-78.366361,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Bad Luck Branch-Appomattox River","020802070206","Appomattox River-Bad Luck Branch","JA-B",NA
"2DAPP112.19","JA05","FP",1,"2013",1,NA,NA,"1 : FP",NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1",NA,"APROB","STREAM","SCRO","Blue Ridge","W of 45, N of Hwy 460","000002","AMBNT",37.31258333,-78.40177778,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Ducker Creek-Appomattox River","020802070205","Appomattox River-Ducker Creek","JA-B",NA
