"FDT_STA_ID","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024","STA_DESC","Deq_Region","STA_REC_CODE","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_SSC_CODE","FDT_COMMENT","Latitude","Longitude","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Vahu5","Huc6_Huc_12","Huc6_Huc_12_Name","STA_LV1_CODE","LV1_DESCRIPTION","STA_LV2_CODE","LV2_DESCRIPTION","STA_LV3_CODE","LV3_DESCRIPTION","STA_CBP_NAME","FDT_DATE_TIME2","Basin","Subbasin"
"2BJMS248.90","JM13",NA,14,"2017, 2018, 2019",3,NA,NA,NA,NA,"11 : PA | 1 : QA","1 : TM","1 : TM","PA: 11 | QA: 1 | TM: 2 | Total: 14","PA: 11 | QA: 1 | TM: 1 | Total: 13","PA: 11 | QA: 1 | TM: 2 | Total: 14","PA: 11 | QA: 1 | TM: 2 | Total: 14","James River @ Joshua Falls boat ramp","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.419311,-79.040628,"02080203","Middle James Buffalo","Archer Creek-James River","JM-D","020802030401","James River-Archer Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2017-01-18 15:10:00,"James","Middle James Buffalo"
"2BJMS250.66","JM13","FP",1,"2017",1,NA,NA,NA,NA,"1 : FP",NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1","FP: 1 | Total: 1","FP: 1 | Total: 1","James R upstream of Joshua Falls","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.422556,-79.068972,"02080203","Middle James Buffalo","Archer Creek-James River","JM-D","020802030401","James River-Archer Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2017-09-14 19:15:00,"James","Middle James Buffalo"
"2BJMS255.91","JM11","TM",2,"2018, 2019",2,NA,NA,NA,NA,NA,"1 : TM","1 : TM","TM: 2 | Total: 2","TM: 1 | Total: 1","TM: 2 | Total: 2","TM: 2 | Total: 2","James River @ Rte 29 Bypass","Blue Ridge","WCRO",0.3,"S",50,"170520",NA,37.4051,-79.1012,"02080203","Middle James Buffalo","Opossum Creek-James River","JM-C","020802030305","James River-Opossum Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","TMDL","Total Maximum Daily Load sited station",NA,2018-09-17 17:45:00,"James","Middle James Buffalo"
"2BJMS263.24","JM07","TM",4,"2017, 2018, 2019",3,NA,NA,NA,NA,"1 : TM","2 : TM","1 : TM","TM: 4 | Total: 4","TM: 3 | Total: 3","TM: 4 | Total: 4","TM: 4 | Total: 4","James River downstream of Reusens Dam","Blue Ridge","WCRO",0.3,"S",50,"170520",NA,37.453917,-79.179361,"02080203","Middle James Buffalo","Judith Creek-James River","JM-C","020802030301","James River-Judith Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2017-07-19 15:25:00,"James","Middle James Buffalo"
"2BJMS273.86","JM03","TM",1,"2019",1,NA,NA,NA,NA,NA,NA,"1 : TM","TM: 1 | Total: 1",NA,"TM: 1 | Total: 1","TM: 1 | Total: 1","James River at Coleman Falls Dam","Blue Ridge","WCRO",0.3,"S",50,"170520",NA,37.503,-79.3005,"02080203","Middle James Buffalo","Thomas Mill Creek-James River","JM-A","020802030103","James River-Thomas Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","TMDL","Total Maximum Daily Load sited station",NA,2019-02-07 10:05:00,"James","Middle James Buffalo"
"2BRRW000.96","JM01","RB",1,"2019",1,NA,NA,NA,NA,NA,NA,"1 : RB","RB: 1 | Total: 1",NA,"RB: 1 | Total: 1","RB: 1 | Total: 1","Along Hercules Rd","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.607431,-79.381589,"02080203","Middle James Buffalo","Otter Creek-James River","JM-A","020802030101","James River-Otter Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2019-05-16 14:45:00,"James","Middle James Buffalo"
"2BWLM000.34","JM11","TM",1,"2018",1,NA,NA,NA,NA,NA,"1 : TM",NA,"TM: 1 | Total: 1","TM: 1 | Total: 1","TM: 1 | Total: 1","TM: 1 | Total: 1","Williams Run @ CVTC Treatment Works Bldg","Blue Ridge","WCRO",0.3,"S",50,"170520",NA,37.4056,-79.0995,"02080203","Middle James Buffalo","Opossum Creek-James River","JM-C","020802030305","James River-Opossum Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","TMDL","Total Maximum Daily Load sited station",NA,2018-09-17 17:30:00,"James","Middle James Buffalo"
"2BXBA000.52","JM13","FP",2,"2017",1,NA,NA,NA,NA,"2 : FP",NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2","UT Joshua South of Pinecrest Ln","Blue Ridge",NA,0.3,"S",50,"000002",NA,37.416333,-79.009361,"02080203","Middle James Buffalo","Archer Creek-James River","JM-D","020802030401","James River-Archer Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2017-03-22 16:50:00,"James","Middle James Buffalo"
"4AAAR006.20","RD75","AW",12,"2014",1,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"Aarons Creek @ Rt. 602","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.61083333,-78.71111111,"03010104","Lower Dan","Aarons Creek-John H Kerr Reservoir","RD-S","030101040702","Aarons Creek-John H Kerr Reservoir","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-01-23 20:20:00,"Roanoke","Lower Dan"
"4AALN009.12","RL11","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17","RT. 678 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.66611111,-78.31805556,"03010106","Roanoke Rapids","Cox Creek-Allen Creek","RL-D","030101060102","Allen Creek-Cox Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,2013-02-07 19:30:00,"Roanoke","Roanoke Rapids"
"4AALN016.38","RL10",NA,14,"2013, 2014",2,"2 : RB | 6 : TM","6 : TM",NA,NA,NA,NA,NA,NA,"RB: 2 | TM: 12 | Total: 14",NA,NA,"ALLEN CREEK, RT. 660 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.70666667,-78.36916667,"03010106","Roanoke Rapids","Layton Creek-Allen Creek","RL-D","030101060101","Allen Creek-Layton Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2013-01-28 21:15:00,"Roanoke","Roanoke Rapids"
"4AALN020.60","RL10","RB",1,"2013",1,"1 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"ALLEN CREEK, RT. 671 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.74824444,-78.37723889,"03010106","Roanoke Rapids","Layton Creek-Allen Creek","RL-D","030101060101","Allen Creek-Layton Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2013-11-22 17:00:00,"Roanoke","Roanoke Rapids"
"4ABAA000.03","RU15","AW",12,"2014",1,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"END RT. 618 CONFL. WITH ROANOKE RIVER","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.22583333,-79.84833333,"03010101","Upper Roanoke","Back Creek","RU-D","030101010405","Back Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-02-24 19:10:00,"Roanoke","Upper Roanoke"
"4ABAA000.30","RU15","RB",2,"2013",1,"2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"Off Rutrough Road","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.22676944,-79.85,"03010101","Upper Roanoke","Back Creek","RU-D","030101010405","Back Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2013-05-31 14:00:00,"Roanoke","Upper Roanoke"
"4ABAA008.67","RU15",NA,20,"2015, 2016, 2017, 2019",4,NA,NA,"2 : RB","2 : RB","2 : RB | 12 : TM",NA,"2 : RB","RB: 6 | TM: 12 | Total: 18","RB: 6 | TM: 12 | Total: 18","RB: 8 | TM: 12 | Total: 20","RB: 4 | TM: 12 | Total: 16","Rt. 666, uppermost Bandy Rd Bridge","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.18561111,-79.92313889,"03010101","Upper Roanoke","Back Creek","RU-D","030101010405","Back Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-03-31 14:45:00,"Roanoke","Upper Roanoke"
"4ABAA017.14","RU15",NA,20,"2015, 2016, 2017, 2019",4,NA,NA,"2 : RB","2 : RB","2 : RB | 12 : TM",NA,"2 : RB","RB: 6 | TM: 12 | Total: 18","RB: 6 | TM: 12 | Total: 18","RB: 8 | TM: 12 | Total: 20","RB: 4 | TM: 12 | Total: 16","Rt. 613 near Merriman Soccer Complex","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.19333333,-80.00016667,"03010101","Upper Roanoke","Back Creek","RU-D","030101010405","Back Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-03-31 18:00:00,"Roanoke","Upper Roanoke"
"4ABAA023.07","RU15",NA,20,"2015, 2016, 2017, 2019",4,NA,NA,"2 : RB","2 : RB","2 : RB | 12 : TM",NA,"2 : RB","RB: 6 | TM: 12 | Total: 18","RB: 6 | TM: 12 | Total: 18","RB: 8 | TM: 12 | Total: 20","RB: 4 | TM: 12 | Total: 16","Below Old Mill Plantation","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.19806111,-80.07778056,"03010101","Upper Roanoke","Back Creek","RU-D","030101010405","Back Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-03-31 21:30:00,"Roanoke","Upper Roanoke"
"4ABAC002.57","RU45","RB",1,"2018",1,NA,NA,NA,NA,NA,"1 : RB",NA,"RB: 1 | Total: 1","RB: 1 | Total: 1","RB: 1 | Total: 1","RB: 1 | Total: 1","Back Creek @ Rte 628 Bishop Creek Road","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.154272,-79.384783,"03010101","Upper Roanoke","Back Creek-Goose Creek","RU-L","030101011203","Goose Creek-Back Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2018-05-03 16:55:00,"Roanoke","Upper Roanoke"
"4ABAN005.58","RD67","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17","ROUTE 360 BRIDGE NE OF S BOSTON","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.74555556,-78.84194444,"03010105","Banister","Winn Creek-Banister River","RD-P","030101050403","Banister River-John H Kerr Reservoir-Winn Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,2013-02-04 20:40:00,"Roanoke","Banister"
"4ABAN012.46","RD65","RL",52,"2015, 2016",2,NA,NA,"29 : RL","23 : RL",NA,NA,NA,"RL: 23 | Total: 23","RL: 52 | Total: 52","RL: 52 | Total: 52",NA,"BANISTER LAKE(HALIFAX RESERVOIR)STA #1","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.77972222,-78.92611111,"03010105","Banister","Polecat Creek-Banister River","RD-P","030101050401","Banister River-Polecat Creek","RESERV","Station sample at reservoir, man-made body of water","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2015-04-13 18:15:00,"Roanoke","Banister"
"4ABAN023.28","RD62","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","RT. 642 BRIDGE","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.84036667,-79.02565833,"03010105","Banister","Bye Creek-Banister River","RD-N","030101050207","Banister River-Bye Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-01-25 21:10:00,"Roanoke","Banister"
"4ABAN039.76","RD60","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17","Banister R @Rt 640 BRIDGE, Riceville Rd","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.91138889,-79.18305556,"03010105","Banister","Allen Creek-Banister River","RD-N","030101050205","Banister River-Allen Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,2013-02-14 19:00:00,"Roanoke","Banister"
"4ABAN053.77","RD58",NA,22,"2013, 2019",2,"12 : PA",NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","PA: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10","Route 57, Halifax Road","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.82722222,-79.31944444,"03010105","Banister","Shockoe Creek-Banister River","RD-N","030101050203","Banister River-Shockoe Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2013-01-29 19:00:00,"Roanoke","Banister"
"4ABAN057.85","RD58","FP",1,"2013",1,"1 : FP",NA,NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1",NA,NA,"Banister 0.2 miles DS of Cherrystne Ck","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.80458333,-79.33558333,"03010105","Banister","Shockoe Creek-Banister River","RD-N","030101050203","Banister River-Shockoe Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2013-09-12 14:15:00,"Roanoke","Banister"
"4ABAN070.20","RD52","AW",12,"2013",1,"12 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"Banister River @ Rt 703","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.77190555,-79.46223333,"03010105","Banister","Strawberry Creek-Banister River","RD-M","030101050101","Banister River-Strawberry Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2013-01-29 19:30:00,"Roanoke","Banister"
"4ABAR000.32","RD63","RB",1,"2014",1,NA,"1 : RB",NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"Bar Branch @ Rte 662","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.76030556,-79.20194444,"03010105","Banister","Upper Sandy Creek","RD-O","030101050301","Upper Sandy Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2014-12-01 16:30:00,"Roanoke","Banister"
"4ABAU000.25","RD24",NA,18,"2013, 2014, 2015",3,"1 : RB | 6 : TM","6 : AW | 2 : RB","3 : FP",NA,NA,NA,NA,NA,"RB: 3 | TM: 6 | AW: 6 | FP: 3 | Total: 18","FP: 3 | Total: 3",NA,"Off Kohler Road","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,36.69148055,-79.9067,"03010103","Upper Dan","Beaver Creek-Smith River","RD-F","030101030801","Smith River-Beaver Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","TMDL","Total Maximum Daily Load sited station",NA,2013-02-27 16:15:00,"Roanoke","Upper Dan"
"4ABAU005.34","RD24","RL",218,"2014, 2015, 2019",3,NA,"58 : RL","59 : RL",NA,NA,NA,"101 : RL","RL: 101 | Total: 101","RL: 117 | Total: 117","RL: 160 | Total: 160","RL: 101 | Total: 101","MARTINSVILLE RESERVOIR STATION AT DAM -","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,36.74444444,-79.87527778,"03010103","Upper Dan","Beaver Creek-Smith River","RD-F","030101030801","Smith River-Beaver Creek","RESERV","Station sample at reservoir, man-made body of water","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-04-10 16:40:00,"Roanoke","Upper Dan"
"4ABAU011.17","RD24",NA,21,"2013, 2015, 2017, 2019",4,"2 : FP",NA,"3 : FP",NA,"2 : FP | 12 : PA",NA,"2 : FP","FP: 4 | PA: 12 | Total: 16","FP: 7 | PA: 12 | Total: 19","FP: 7 | PA: 12 | Total: 19","FP: 4 | PA: 12 | Total: 16","Off Rt. 922 upstream of Rt. 657 crossing","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,36.78152778,-79.83454722,"03010103","Upper Dan","Beaver Creek-Smith River","RD-F","030101030801","Smith River-Beaver Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VAEQ99-461",2013-06-03 17:00:00,"Roanoke","Upper Dan"
"4ABCD001.70","RU75","AW",10,"2019",1,NA,NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10",NA,"AW: 10 | Total: 10","AW: 10 | Total: 10","Buckskin Cr @ Rt. 624","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.96111111,-78.8175,"03010102","Middle Roanoke","Buckskin Creek-Roanoke River","RU-S","030101020404","Roanoke River-Buckskin Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2019-01-24 12:50:00,"Roanoke","Middle Roanoke"
"4ABCE001.32","RU22",NA,13,"2018, 2019",2,NA,NA,NA,NA,NA,"1 : RB","1 : RB | 11 : TM","RB: 2 | TM: 11 | Total: 13","RB: 1 | Total: 1","RB: 2 | TM: 11 | Total: 13","RB: 2 | TM: 11 | Total: 13","Rt. 731 Bridge","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.04836111,-79.95258056,"03010101","Upper Roanoke","Madcap Creek-Blackwater River","RU-E","030101010503","Blackwater River-Madcap Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2018-06-05 16:30:00,"Roanoke","Upper Roanoke"
"4ABDA004.14","RU17",NA,17,"2017, 2018, 2019",3,NA,NA,NA,NA,"12 : AW | 2 : RB","2 : RB","1 : RB","AW: 12 | RB: 5 | Total: 17","AW: 12 | RB: 4 | Total: 16","AW: 12 | RB: 5 | Total: 17","AW: 12 | RB: 5 | Total: 17","Rt. 757 Bridge","Blue Ridge","WCRO",0.3,"S",50,"000002","Creek coming down from flows above bank full within 24 hrs.  Very high and turbid.",37.224556,-79.756064,"03010101","Upper Roanoke","Beaverdam Creek","RU-G","030101010702","Beaverdam Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2017-01-24 16:20:00,"Roanoke","Upper Roanoke"
"4ABDB000.75","RD62","RB",3,"2014, 2017",2,NA,"1 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","RB: 3 | Total: 3","RB: 2 | Total: 2","RB: 2 | Total: 2","Bradley Cr @ rt 628","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.87777778,-79.05416667,"03010105","Banister","Bye Creek-Banister River","RD-N","030101050207","Banister River-Bye Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-11-24 18:20:00,"Roanoke","Banister"
"4ABEE000.80","RL01",NA,16,"2014, 2016, 2017, 2018",4,NA,"2 : RB",NA,"2 : RB","5 : AW | 1 : QA","6 : TR",NA,"RB: 2 | AW: 5 | QA: 1 | TR: 6 | Total: 14","RB: 4 | AW: 5 | QA: 1 | TR: 6 | Total: 16","RB: 2 | AW: 5 | QA: 1 | TR: 6 | Total: 14","AW: 5 | QA: 1 | TR: 6 | Total: 12","RT. 727 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.54361111,-78.62444444,"03010102","Middle Roanoke","Beech Creek-Johnson Creek","RL-A","030101020803","Johnson Creek-John H Kerr Reservoir","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-06-03 16:40:00,"Roanoke","Middle Roanoke"
"4ABHB004.40","RL07","RL",298,"2014, 2016, 2018, 2019",4,NA,"77 : RL",NA,"87 : RL",NA,"81 : RL","53 : RL","RL: 221 | Total: 221","RL: 245 | Total: 245","RL: 221 | Total: 221","RL: 134 | Total: 134","S of Rt. 58, Rudd Branch Confluence","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.64922222,-78.44127778,"03010102","Middle Roanoke","Butcher Creek","RL-B","030101020904","Butcher Creek/John H Kerr Reservoir","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-04-14 16:40:00,"Roanoke","Middle Roanoke"
"4ABHB011.31","RL07","FP",2,"2019",1,NA,NA,NA,NA,NA,NA,"2 : FP","FP: 2 | Total: 2",NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","upstream of Mecklenburg Co landfill","Piedmont",NA,0.3,"S",50,"000002",NA,36.727947,-78.4504,"03010102","Middle Roanoke","Butcher Creek","RL-B","030101020904","Butcher Creek/John H Kerr Reservoir","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2019-04-25 11:00:00,"Roanoke","Middle Roanoke"
"4ABHB013.93","RL07","PA",1,"2019",1,NA,NA,NA,NA,NA,NA,"1 : PA","PA: 1 | Total: 1",NA,"PA: 1 | Total: 1","PA: 1 | Total: 1","BUTCHER CR @ Rt. 92 BR","Piedmont","SCRO",0.3,"S",50,"000002",NA,36.7525,-78.4378,"03010102","Middle Roanoke","Butcher Creek","RL-B","030101020904","Butcher Creek/John H Kerr Reservoir","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2019-01-23 11:40:00,"Roanoke","Middle Roanoke"
"4ABIR001.00","RD47","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","RT. 659 BRIDGE","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.67223333,-79.06087222,"03010104","Lower Dan","Birch Creek","RD-K","030101040305","Birch Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2017-01-25 20:35:00,"Roanoke","Lower Dan"
"4ABIR004.22","RD47","RB",2,"2013",1,"2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"Birch Cr. @ rt 685 bridge","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.69222222,-79.10666667,"03010104","Lower Dan","Birch Creek","RD-K","030101040305","Birch Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2013-04-18 14:50:00,"Roanoke","Lower Dan"
"4ABIR011.55","RD47","RB",2,"2013",1,"2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"Birch Cr. @ rte 729-Kentuck rd","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.70305556,-79.21777778,"03010104","Lower Dan","Birch Creek","RD-K","030101040305","Birch Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2013-04-18 16:00:00,"Roanoke","Lower Dan"
"4ABKN000.52","RD53","RB",3,"2014, 2019",2,NA,"2 : RB",NA,NA,NA,NA,"1 : RB","RB: 1 | Total: 1","RB: 2 | Total: 2","RB: 1 | Total: 1","RB: 1 | Total: 1","Bearskin Cr. @ rt 703 Tight Sqz. Rd","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.77694444,-79.45916667,"03010105","Banister","Bearskin Creek","RD-M","030101050102","Bearskin Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-05-08 14:50:00,"Roanoke","Banister"
"4ABKN008.08","RD53","PA",12,"2015",1,NA,NA,"12 : PA",NA,NA,NA,NA,NA,"PA: 12 | Total: 12","PA: 12 | Total: 12",NA,"Route 800 (Anderson Road)","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.86378056,-79.49775,"03010105","Banister","Bearskin Creek","RD-M","030101050102","Bearskin Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2015-01-12 15:55:00,"Roanoke","Banister"
"4ABKN008.26","RD53","FP",2,"2015",1,NA,NA,"2 : FP",NA,NA,NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2",NA,"Bearskin Ck upstream of Rte 800","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,36.86619444,-79.49858333,"03010105","Banister","Bearskin Creek","RD-M","030101050102","Bearskin Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2015-05-04 16:00:00,"Roanoke","Banister"
